elevatorAddress,unloadCapacity,lat,loadCapacity,odhiRegion,propertyTypeCategory,cert,transportTypes,shortName,propertyType,capacity,lng,fullName
"11104, вул. Леніна, буд. 72, м. Овруч, Житомирська обл.",380,51.3278320,200,Житомирська,Інші,4951,"train,autocar","Овруцька реалбаза хлібопродуктів, ВАТ",Приватний,14000,28.8133440,"Відкрите акціонерне товариство ""Овруцька реалізаційна база хлібопродуктів"""
"96020, вул. Леніна, буд. 55б, с. Воїнка, Красноперекопський р-н., АР Крим",1500,45.8693529,5320,АР Крим,Інші,4960,"train,autocar","Північно-Кримський КХП, ТОВ  (с. Воїнка)",Приватний,41900,33.9935460,"Товариство з обмеженою відповідальністю ""Північно-Кримський комбінат хлібопродуктів"""
"20603, вул. Калініна, буд. 1, м. Шпола, Черкаська обл.",4000,49.0042010,6000,Черкаська,Державні,4961,"train,autocar","ДПЗКУ, ПАТ (філія ""Шполянський елеватор"")",ДПЗКУ,71900,31.3962280,"Публічне акціонерне товариство ""Державна продовольчо-зернова корпорація України"""
"74800, Чаплинське шосе, буд. 19, м. Каховка, Каховський р-н., Херсонська обл.",250,46.8098389,450,Херсонська,Інші,4968,autocar,"Чумацький шлях, ТОВ",Приватний,12500,33.4830770,"Товариство з обмеженою відповідальністю ""Чумацький шлях"""
"38832, пров. Аптечний, буд. 11, с. Чапаєве, Чутівський р-н., Полтавська обл.",760,49.7407839,400,Полтавська,Інші,4970,"train,autocar","Інтер-Агро ЛТД ТД, ТОВ (с. Чапаєве)",Приватний,16300,34.9887214,"Товариство з обмеженою відповідальністю ""Торговий дім ""Інтер-Агро ЛТД"""
"37000, вул. Південна, буд. 4, м. Пирятин, Полтавська обл.",2000,50.2373930,1000,Полтавська,Інші,4971,"train,autocar","Баришівська зернова компанія, ТОВ (м. Пирятин)",Приватний,23100,32.5039280,"Товариство з обмеженою відповідальністю ""Баришівська зернова компанія"""
"20300, вул. Старицького, буд. 7, м. Умань, Черкаська обл.",3500,48.732134,8000,Черкаська,Державні,4983,"train,autocar","ДПЗКУ, ПАТ (філія ""Уманський елеватор"")",ДПЗКУ,97000,30.203433,"Публічне акціонерне товариство ""Державна продовольчо-зернова корпорація України"""
"20600, вул. Володарського, буд. 109, м. Шпола, Шполянський р-н., Черкаська обл.",1000,49.0042010,1000,Черкаська,Інші,4984,autocar,"Відродження, СПОП",Приватний,10000,31.397228,"Сільськогосподарське приватно-орендне підприємство ""Відродження"""
"вул. Шевченка 14, смт.Локачі, Локачинський район, Волинська область, 45300",380,51.3278320,250,Волинська,Інші,4985,autocar,"Агротехніка, ТзОВ",Приватний,15200,28.8133440,"Товариство з обмеженою відповідальністю ""Агротехніка"""
"20505, вул. Леніна, буд. 47, смт. Єрки, Катеринопільський р-н., Черкаська обл.",2500,48.9825000,4700,Черкаська,Інші,4990,"train,autocar","Катеринопільський елеватор, ТОВ",Приватний,220300,30.9991667,"Товариство з обмеженою відповідальністю ""Катеринопільський елеватор"""
"вул. Паралельна 33, смт.Турійськ, Турійський район, Волинська область, 44800",150,51.3278320,480,Волинська,Інші,4994,"train,autocar","Агротехніка, ТзОВ",Приватний,35990,28.8133440,"Товариство з обмеженою відповідальністю ""Агротехніка"""
"45653, вул. Привокзальна 156, с.Чаруків, Луцький район, Волинська область",300,51.3278320,750,Волинська,Інші,4997,"train,autocar","Агротехніка, ТзОВ",Приватний,25000,28.8133440,"Товариство з обмеженою відповідальністю ""Агротехніка"""
"27410, вул. Степова, буд. 3, смт. Знам\'янка друга, Кіровоградська обл.",550,48.7163889,750,Кіровоградська,Інші,5005,autocar,"Знам\'янська АПК, ТОВ",Приватний,19500,32.5930556,"Товариство з обмеженою відповідальністю ""Знам\'янська агропромислова компанія"""
"15600, вул. Садова, буд. 5, м. Мена, Чернігівська обл.",900,51.5199730,2000,Чернігівська,Державні,5018,"train,autocar","ДПЗКУ, ПАТ (філія ""Менське ХПП"")",ДПЗКУ,53000,32.2152340,"Публічне акціонерне товариство ""Державна продовольчо-зернова корпорація України"""
"26232, вул. Горького, буд. 25а, с. Злинка. Маловисківський р-н., Кіровоградська обл.",1500,48.491184,1500,Кіровоградська,Державні,5019,"train,autocar","ДПЗКУ, ПАТ (філія ""Хлібна база № 78"")",ДПЗКУ,172300,31.537628,"Публічне акціонерне товариство ""Державна продовольчо-зернова корпорація України"""
"20615, вул. Гагаріна, буд. 1, с. Сигнаївка, Шполянський р-н., Черкаська  обл.",1020,49.0519444,650,Черкаська,Інші,5021,"train,autocar","Шпола-Агро Індустрі, ТОВ (с. Сигнаївка)",Приватний,11300,31.4950000,"Товариство з обмеженою відповідальністю ""Шпола-Агро Індустрі"""
"66740, вул. Елеваторна, буд. 24, смт. Затишшя, Фрунзівський р-н., Одеська обл.",5000,47.3333333,5000,Одеська,Інші,5025,"train,autocar","Затишанське ХПП, ТДВ",Приватний,56700,29.8666667,"Товариство з додатковою відповідальністю ""Затишанське хлібоприймальне підприємство"""
"64501, вул. 17 Вересня, буд. 70, смт. Сахновщина, Харківська обл.",5350,49.1488889,5700,Харківська,Державні,5027,"train,autocar","ДПЗКУ, ПАТ (філія ""Сахновщинський елеватор"")",ДПЗКУ,110100,35.8744444,"Публічне акціонерне товариство ""Державна продовольчо-зернова корпорація України"""
